Geographic Area Name,FIPS,bwrato_homeownership,CensusYear,BW_poverty,WB_poverty,bwedu,wbedu,BW_unemployment,WB_unemployment,Dissimilarity,isolation,Interaction
Alabama,1,0.76314,1990,3.1641,0.31605,0.53504,1.86902,2.68388,0.37259,0.47633,0.12631,0.87369
Alaska,2,0.47667,1990,0.40783,2.45198,0.52657,1.89907,1.59273,0.62785,0.60634,0.58332,0.41668
Arizona,4,0.61922,1990,1.22424,0.81683,0.64493,1.55056,2.03384,0.49168,0.62469,0.47579,0.52421
Arkansas,5,0.7319,1990,2.87705,0.34758,0.59475,1.68138,2.45372,0.40754,0.47074,0.1547,0.8453
California,6,0.60611,1990,2.12157,0.47135,0.58306,1.71508,2.1902,0.45658,0.61595,0.44574,0.55426
Colorado,8,0.5912,1990,2.06776,0.48361,0.60559,1.65127,2.16051,0.46285,0.64287,0.31404,0.68596
Connecticut,9,0.44748,1990,4.19039,0.23864,0.43237,2.31284,2.53347,0.39472,0.67002,0.43738,0.56262
Delaware,10,0.65122,1990,3.78869,0.26394,0.46002,2.17382,2.58999,0.3861,0.45285,0.40467,0.59533
Florida,12,0.66833,1990,3.28688,0.30424,0.50772,1.96958,2.30444,0.43394,0.6465,0.51754,0.48246
Georgia,13,0.64377,1990,3.42552,0.29193,0.50485,1.98077,2.67443,0.37391,0.57635,0.56879,0.43121
Hawaii,15,0.25804,1990,0.93271,1.07215,0.5034,1.9865,1.61709,0.6184,0.48868,0.1648,0.8352
Idaho,16,0.54194,1990,0.49367,2.02565,0.87889,1.13779,1.76309,0.56719,0.62886,0.21141,0.78859
Illinois,17,0.54428,1990,3.95871,0.25261,0.50801,1.96847,3.59658,0.27804,0.44229,0.02242,0.97758
Indiana,18,0.63539,1990,3.14521,0.31794,0.58804,1.70057,2.83942,0.35218,0.80099,0.74153,0.25847
Iowa,19,0.54792,1990,3.10115,0.32246,0.76216,1.31205,3.15413,0.31704,0.75784,0.57314,0.42686
Kansas,20,0.61697,1990,2.68058,0.37305,0.53661,1.86354,3.10267,0.3223,0.62593,0.38051,0.61949
Kentucky,21,0.60357,1990,1.94243,0.51482,0.55566,1.79965,1.97929,0.50523,0.62267,0.40429,0.59571
Louisiana,22,0.70744,1990,3.37401,0.29638,0.48785,2.04983,3.03346,0.32966,0.57641,0.59901,0.40099
Maine,23,0.49538,1990,0.90653,1.10311,1.19013,0.84025,1.33803,0.74737,0.65436,0.44067,0.55933
Maryland,24,0.59948,1990,3.07575,0.32512,0.55503,1.8017,2.58003,0.38759,0.64781,0.63473,0.36527
Massachusetts,25,0.42095,1990,3.19098,0.31338,0.61294,1.63147,2.06265,0.48481,0.45761,0.02388,0.97612
Michigan,26,0.63842,1990,3.45491,0.28944,0.55494,1.80199,3.07692,0.325,0.82675,0.73724,0.26276
Minnesota,27,0.41023,1990,3.25649,0.30708,0.79803,1.25309,3.11177,0.32136,0.65447,0.27897,0.72103
Mississippi,28,0.78209,1990,3.49045,0.2865,0.50835,1.96714,3.10188,0.32239,0.74743,0.61618,0.38382
Missouri,29,0.63282,1990,2.57721,0.38802,0.61111,1.63635,2.68577,0.37233,0.49868,0.57031,0.42969
Montana,30,0.53474,1990,0.15191,6.58276,0.90214,1.10847,2.5504,0.3921,0.49731,0.02768,0.97232
Nebraska,31,0.58255,1990,2.82054,0.35454,0.64766,1.54401,3.91466,0.25545,0.50435,0.46564,0.53436
Nevada,32,0.57251,1990,2.31508,0.43195,0.56281,1.7768,1.96571,0.50872,0.59857,0.06596,0.93404
New Hampshire,33,0.49823,1990,1.56058,0.64079,1.06212,0.94151,1.58102,0.6325,0.72768,0.43257,0.56743
New Jersey,34,0.52989,1990,3.82977,0.26111,0.52627,1.90017,2.53148,0.39503,0.41796,0.0224,0.9776
New Mexico,35,0.62093,1990,0.49052,2.03866,0.60843,1.64359,1.98692,0.50329,0.6963,0.58018,0.41982
New York,36,0.40931,1990,2.82198,0.35436,0.4973,2.01085,2.29431,0.43586,0.42644,0.08301,0.91699
North Carolina,37,0.68142,1990,3.002,0.33311,0.49004,2.04065,2.62578,0.38084,0.50957,0.3324,0.6676
North Dakota,38,0.16358,1990,0.24995,4.0008,0.9348,1.06975,2.84367,0.35166,0.77756,0.68342,0.31658
Ohio,39,0.59375,1990,3.17978,0.31449,0.52045,1.9214,2.68046,0.37307,0.74898,0.60815,0.39185
Oklahoma,40,0.66992,1990,1.39639,0.71613,0.64191,1.55785,2.62444,0.38103,0.58706,0.3952,0.6048
Oregon,41,0.58477,1990,1.55276,0.64401,0.72995,1.36995,2.1678,0.4613,0.62979,0.2659,0.7341
Pennsylvania,42,0.69661,1990,3.25002,0.30769,0.54004,1.85172,2.75779,0.36261,0.78452,0.66101,0.33899
Rhode Island,44,0.41756,1990,2.98394,0.33513,0.58057,1.72244,2.05094,0.48758,0.64489,0.27903,0.72097
South Carolina,45,0.79726,1990,3.66616,0.27277,0.38521,2.596,2.69642,0.37086,0.47382,0.50375,0.49625
South Dakota,46,0.23558,1990,0.18589,5.37941,1.36539,0.73239,3.87301,0.2582,0.51187,0.04124,0.95876
Tennessee,47,0.66048,1990,2.56007,0.39061,0.60673,1.64819,2.27027,0.44048,0.68697,0.59769,0.40231
Texas,48,0.69896,1990,2.16529,0.46183,0.52934,1.88916,2.32584,0.42995,0.59909,0.47447,0.52553
Utah,49,0.53073,1990,1.30116,0.76854,0.702,1.42451,2.15357,0.46434,0.51835,0.04866,0.95134
Vermont,50,0.61311,1990,1.19719,0.83529,1.25997,0.79367,1.3312,0.7512,0.52589,0.46391,0.53609
Virginia,51,0.69845,1990,2.9929,0.33412,0.41322,2.42003,2.54165,0.39344,0.33239,0.00659,0.99341
Washington,53,0.55908,1990,1.72274,0.58047,0.66027,1.51454,2.19906,0.45474,0.57297,0.21671,0.78329
West Virginia,54,0.73075,1990,1.81698,0.55036,0.8934,1.11931,1.84904,0.54082,0.82902,0.62581,0.37419
Wisconsin,55,0.43822,1990,4.43551,0.22545,0.46023,2.17281,3.98004,0.25125,0.59627,0.18249,0.81751
Wyoming,56,0.53223,1990,0.82731,1.20874,0.4923,2.03127,2.15288,0.46449,0.54728,0.04463,0.95537
Alabama,1,0.7482,2000,2.97523,0.33611,0.54174,1.8459,2.81767,0.3549,0.47544,0.11496,0.88504
Alaska,2,0.51029,2000,1.58563,0.63066,0.50608,1.97599,1.50625,0.6639,0.57704,0.6079,0.3921
Arizona,4,0.65154,2000,1.93312,0.5173,0.71065,1.40716,1.99445,0.50139,0.63473,0.53607,0.46393
Arkansas,5,0.68609,2000,2.7863,0.3589,0.57353,1.74358,2.56751,0.38948,0.41441,0.16738,0.83262
